date,close,daily_return,volume,stock_id,iron_powder_price,rebar_price,coke_price,gdp_growth,cpi,interest,fdi,import,export,exchange_rate,de,roe,roa,quick_ratio,pe,pb,log_volume,log_rebar_price,log_iron_powder_price,log_pe,log_close,z_close,price_to_rebar,price_to_iron,price_to_coke,price_x_interest,volume_momentum,pe_to_roe
2021-10-29,32.74,-0.01533834586466154,23878000,HPG,3188530.845,18652234.755,15206026.92,0.0142,0.0206,0.0047,13280,26665.73,27025.84,23100,1.0710567152,0.4467085831,0.2095297605,0.6938194969,6.2107155712,2.3391624772,16.98846817464658,16.74147657649377,14.9750711321425,4.463980518518532,3.518684077117822,2.71762615929095,1.755285649684608,10.26805183689543,2.153093649790803,0.01277284294866747,-26.05750005735245,13.90017069078994
2021-10-29,36.31,-0.012510198531411549,11471500,HSG,3188530.845,18652234.755,15206026.92,0.0142,0.0206,0.0047,13280,26665.73,27025.84,23100,1.4575436383,0.480302293,0.1892310309,0.4383938321,3.7595900431,1.5125584115,16.25537643083745,16.74147657649377,14.9750711321425,4.435346225327892,3.619261387233066,3.533750455318128,1.946683626757731,11.38768974336204,2.387868980571291,0.0166086271399952,-20.33579863526047,7.825920271159072
2021-10-29,34.09,-0.02152698048220436,19314300,NKG,3188530.845,18652234.755,15206026.92,0.0142,0.0206,0.0047,13280,26665.73,27025.84,23100,1.9922568902,0.4662747855,0.1626681307,0.5342817476,3.6445459646,1.381668074,16.77635641571274,16.74147657649377,14.9750711321425,4.433981912062204,3.557916189595124,3.610722628464897,1.827663035972764,10.69144432253407,2.241874237060736,0.01697039635378502,-36.1144297123552,7.814629087832622
2021-10-29,17.4,-0.01694915254237295,412400,POM,3188530.845,18652234.755,15206026.92,0.0142,0.0206,0.0047,13280,26665.73,27025.84,23100,2.6824123837,0.0942125055,0.0270033085,0.5297961865,10.1795932602,0.9379261958,12.92975388077371,16.74147657649377,14.9750711321425,4.508674021223348,2.91235066461494,1.629029435963808,0.9328640899362303,5.457058703786821,1.144283124812461,0.007656438349029899,-21.91483708605722,107.9347134956562
2021-10-29,18.43,-0.010204081632653178,2193099,TVN,3188530.845,18652234.755,15206026.92,0.0142,0.0206,0.0047,13280,26665.73,27025.84,23100,1.4110259432,0.107933596,0.0464436324,0.4985507093,8.478276365,0.9986491572,14.60082708197105,16.74147657649377,14.9750711321425,4.489759571385827,2.966818263389349,3.265772604565955,0.9880853550301566,5.780091489125926,1.21201942472952,0.01534913124145999,-14.8988031448686,78.47814641845301
2021-11-01,31.93,-0.02474037874160051,45218500,HPG,2497853.455,19167218.125,10261112.675,0.0142,0.0206,0.0047,13280,26665.73,27025.84,23100,1.0710567152,0.4467085831,0.2095297605,0.6938194969,6.2107155712,2.3391624772,17.6270168973304,16.76871204059711,14.73094270335852,4.463980518518532,3.494384096388273,2.526942344451192,1.665865113641785,12.78297569302359,3.111748307548917,0.0118766290189206,-43.60990741245461,13.90017069078994
2021-11-01,35.23,-0.02974387221151209,17399100,HSG,2497853.455,19167218.125,10261112.675,0.0142,0.0206,0.0047,13280,26665.73,27025.84,23100,1.4575436383,0.480302293,0.1892310309,0.4383938321,3.7595900431,1.5125584115,16.67192915365755,16.76871204059711,14.73094270335852,4.435346225327892,3.589887504906986,3.3166572255359,1.838034073084875,14.10411004275669,3.433350857342573,0.01558828896001873,-49.58877302657732,7.825920271159072
2021-11-01,33.4,-0.02024053974772677,13646000,NKG,2497853.455,19167218.125,10261112.675,0.0142,0.0206,0.0047,13280,26665.73,27025.84,23100,1.9922568902,0.4662747855,0.1626681307,0.5342817476,3.6445459646,1.381668074,16.42895714292059,16.76871204059711,14.73094270335852,4.433981912062204,3.538056564379353,3.467713358349641,1.742558559211889,13.37148099426834,3.255007625184273,0.01629825278424332,-33.25309600649839,7.814629087832622
2021-11-01,17.15,-0.014367816091954031,476000,POM,2497853.455,19167218.125,10261112.675,0.0142,0.0206,0.0047,13280,26665.73,27025.84,23100,2.6824123837,0.0942125055,0.0270033085,0.5297961865,10.1795932602,0.9379261958,13.0731773348854,16.76871204059711,14.73094270335852,4.508674021223348,2.89867056071086,1.581259549563775,0.8947568649845475,6.865895181188681,1.671358705745817,0.007431919882949744,-18.78330076851352,107.9347134956562
2021-11-01,18.24,-0.01030927835051554,2057915,TVN,2497853.455,19167218.125,10261112.675,0.0142,0.0206,0.0047,13280,26665.73,27025.84,23100,1.4110259432,0.107933596,0.0464436324,0.4985507093,8.478276365,0.9986491572,14.53720486414496,16.76871204059711,14.73094270335852,4.489759571385827,2.956991445237561,3.205190728601924,0.9516247940127199,7.302269860342947,1.777585002495842,0.01506439642442904,-14.98680913829388,78.47814641845301
